Product Name,Product Price,Category,Arabic name
Thobe,8,DRY CLEAN NORMAL,ثوب
Color Thobe,12,DRY CLEAN NORMAL,ثوب شتوي
Gutrah,6,DRY CLEAN NORMAL,غترة
Cap,2,DRY CLEAN NORMAL,كاب
Banian,4,DRY CLEAN NORMAL,فانيلا داخلية
Sarwal,4,DRY CLEAN NORMAL,سروال
Gutrah shall,7,DRY CLEAN NORMAL,غترة شال
Pyjama,8,DRY CLEAN NORMAL,بيجاما
T-Shirt,6,DRY CLEAN NORMAL,تي شيرت
Shirt,5,DRY CLEAN NORMAL,قميص
Pants,6,DRY CLEAN NORMAL,بنطلون
Military Suit,10,DRY CLEAN NORMAL,بدلة عسكرية
Jacket,15,DRY CLEAN NORMAL,جاكيت
Sweater,10,DRY CLEAN NORMAL,هودي
Coat,10,DRY CLEAN NORMAL,كوت
Man's Suit,20,DRY CLEAN NORMAL,بدلة رجالية
Over Coat,20,DRY CLEAN NORMAL,كوت طويل
Bisht,30,DRY CLEAN NORMAL,بشت
Abaya,15,DRY CLEAN NORMAL,عبايا
Bath Robe,10,DRY CLEAN NORMAL,روب الحمام
Blouse,6,DRY CLEAN NORMAL,بلوزة
Skirt,10,DRY CLEAN NORMAL,تنورة
Ladies Dress,20,DRY CLEAN NORMAL,فستان نسائي
Pillow,10,DRY CLEAN NORMAL,وسادة
Bed Sheet,10,DRY CLEAN NORMAL,شرشف
Pillow Cover,4,DRY CLEAN NORMAL,غطاء مخدة
Bed Spreard Cover,14,DRY CLEAN NORMAL,غطاء سرير
Blanket,25,DRY CLEAN NORMAL,بطانية
Faruva,40,DRY CLEAN NORMAL,
Towel,6,DRY CLEAN NORMAL,منشف
Carpet,12,DRY CLEAN NORMAL,سجادة
Curtain,N/A,DRY CLEAN NORMAL,ستائر
Socks (Pair),2,DRY CLEAN NORMAL,جرابات
Over Roll,12,DRY CLEAN NORMAL,بدلة عمل
Saree,10,DRY CLEAN NORMAL,ساري
Special dress,100,DRY CLEAN NORMAL,فستان خاص
Dress Pleated,60,DRY CLEAN NORMAL,فستان مكسر
Shawi,6,DRY CLEAN NORMAL,حجاب
Baby frock,10,DRY CLEAN NORMAL,فستان أطفال
Tie,3,DRY CLEAN NORMAL,ربطة عنق
School Uniform,10,DRY CLEAN NORMAL,مريول مدرسي

Thobe,12,DRY CLEAN URGENT,ثوب
Color Thobe,15,DRY CLEAN URGENT,ثوب شتوي
Gutrah,10,DRY CLEAN URGENT,غترة
Cap,4,DRY CLEAN URGENT,كاب
Banian,6,DRY CLEAN URGENT,فانيلا داخلية
Sarwal,6,DRY CLEAN URGENT,سروال
Gutrah shall,12,DRY CLEAN URGENT,غترة شال
Pyjama,12,DRY CLEAN URGENT,بيجاما
T-Shirt,10,DRY CLEAN URGENT,تي شيرت
Shirt,8,DRY CLEAN URGENT,قميص
Pants,10,DRY CLEAN URGENT,بنطلون
Military Suit,15,DRY CLEAN URGENT,بدلة عسكرية
Jacket,25,DRY CLEAN URGENT,جاكيت
Sweater,16,DRY CLEAN URGENT,هودي
Coat,15,DRY CLEAN URGENT,كوت
Man's Suit,30,DRY CLEAN URGENT,بدلة رجالية
Over Coat,35,DRY CLEAN URGENT,كوت طويل
Bisht,50,DRY CLEAN URGENT,بشت
Abaya,20,DRY CLEAN URGENT,عبايا
Bath Robe,15,DRY CLEAN URGENT,روب الحمام
Blouse,10,DRY CLEAN URGENT,بلوزة
Skirt,18,DRY CLEAN URGENT,تنورة
Ladies Dress,25,DRY CLEAN URGENT,فستان نسائي
Pillow,16,DRY CLEAN URGENT,وسادة
Bed Sheet,18,DRY CLEAN URGENT,شرشف
Pillow Cover,6,DRY CLEAN URGENT,غطاء مخدة
Bed Spreard Cover,20,DRY CLEAN URGENT,غطاء سرير
Blanket,40,DRY CLEAN URGENT,بطانية
Faruva,60,DRY CLEAN URGENT,
Towel,10,DRY CLEAN URGENT,منشف
Carpet,N/A,DRY CLEAN URGENT,سجادة
Curtain,30,DRY CLEAN URGENT,ستائر
Socks (Pair),3,DRY CLEAN URGENT,جرابات
Over Roll,20,DRY CLEAN URGENT,بدلة عمل
Saree,18,DRY CLEAN URGENT,ساري
Special dress,175,DRY CLEAN URGENT,فستان خاص
Dress Pleated,100,DRY CLEAN URGENT,فستان مكسر
Shawi,10,DRY CLEAN URGENT,حجاب
Baby frock,18,DRY CLEAN URGENT,فستان أطفال
Tie,5,DRY CLEAN URGENT,ربطة عنق
School Uniform,18,DRY CLEAN URGENT,مريول مدرسي

Thobe,5,WASHING NORMAL,ثوب
Color Thobe,8,WASHING NORMAL,ثوب شتوي
Gutrah,5,WASHING NORMAL,غترة
Cap,1,WASHING NORMAL,كاب
Banian,3,WASHING NORMAL,فانيلا داخلية
Sarwal,3,WASHING NORMAL,سروال
Gutrah shall,6,WASHING NORMAL,غترة شال
Pyjama,6,WASHING NORMAL,بيجاما
T-Shirt,4,WASHING NORMAL,تي شيرت
Shirt,4,WASHING NORMAL,قميص
Pants,5,WASHING NORMAL,بنطلون
Military Suit,8,WASHING NORMAL,بدلة عسكرية
Jacket,10,WASHING NORMAL,جاكيت
Sweater,8,WASHING NORMAL,هودي
Coat,8,WASHING NORMAL,كوت
Man's Suit,12,WASHING NORMAL,بدلة رجالية
Over Coat,15,WASHING NORMAL,كوت طويل
Bisht,20,WASHING NORMAL,بشت
Abaya,10,WASHING NORMAL,عبايا
Bath Robe,6,WASHING NORMAL,روب الحمام
Blouse,5,WASHING NORMAL,بلوزة
Skirt,8,WASHING NORMAL,تنورة
Ladies Dress,12,WASHING NORMAL,فستان نسائي
Pillow,8,WASHING NORMAL,وسادة
Bed Sheet,8,WASHING NORMAL,شرشف
Pillow Cover,3,WASHING NORMAL,غطاء مخدة
Bed Spreard Cover,10,WASHING NORMAL,غطاء سرير
Blanket,20,WASHING NORMAL,بطانية
Faruva,30,WASHING NORMAL,
Towel,5,WASHING NORMAL,منشف
Carpet,N/A,WASHING NORMAL,سجادة
Curtain,20,WASHING NORMAL,ستائر
Socks (Pair),1,WASHING NORMAL,جرابات
Over Roll,10,WASHING NORMAL,بدلة عمل
Saree,8,WASHING NORMAL,ساري
Special dress,60,WASHING NORMAL,فستان خاص
Dress Pleated,45,WASHING NORMAL,فستان مكسر
Shawi,5,WASHING NORMAL,حجاب
Baby frock,8,WASHING NORMAL,فستان أطفال
Tie,2,WASHING NORMAL,ربطة عنق
School Uniform,8,WASHING NORMAL,مريول مدرسي

Thobe,10,WASHING URGENT,ثوب
Color Thobe,12,WASHING URGENT,ثوب شتوي
Gutrah,10,WASHING URGENT,غترة
Cap,2,WASHING URGENT,كاب
Banian,4,WASHING URGENT,فانيلا داخلية
Sarwal,4,WASHING URGENT,سروال
Gutrah shall,10,WASHING URGENT,غترة شال
Pyjama,8,WASHING URGENT,بيجاما
T-Shirt,8,WASHING URGENT,تي شيرت
Shirt,8,WASHING URGENT,قميص
Pants,8,WASHING URGENT,بنطلون
Military Suit,12,WASHING URGENT,بدلة عسكرية
Jacket,18,WASHING URGENT,جاكيت
Sweater,12,WASHING URGENT,هودي
Coat,12,WASHING URGENT,كوت
Man's Suit,18,WASHING URGENT,بدلة رجالية
Over Coat,25,WASHING URGENT,كوت طويل
Bisht,30,WASHING URGENT,بشت
Abaya,18,WASHING URGENT,عبايا
Bath Robe,10,WASHING URGENT,روب الحمام
Blouse,8,WASHING URGENT,بلوزة
Skirt,12,WASHING URGENT,تنورة
Ladies Dress,18,WASHING URGENT,فستان نسائي
Pillow,14,WASHING URGENT,وسادة
Bed Sheet,12,WASHING URGENT,شرشف
Pillow Cover,5,WASHING URGENT,غطاء مخدة
Bed Spreard Cover,16,WASHING URGENT,غطاء سرير
Blanket,30,WASHING URGENT,بطانية
Faruva,50,WASHING URGENT
Towel,8,WASHING URGENT,منشف
Carpet,N/A,WASHING URGENT,سجادة
Curtain,25,WASHING URGENT,ستائر
Socks (Pair),2,WASHING URGENT,جرابات
Over Roll,18,WASHING URGENT,بدلة عمل
Saree,12,WASHING URGENT,ساري
Special dress,100,WASHING URGENT,فستان خاص
Dress Pleated,90,WASHING URGENT,فستان مكسر
Shawi,8,WASHING URGENT,حجاب
Baby frock,12,WASHING URGENT,فستان أطفال
Tie,4,WASHING URGENT,ربطة عنق
School Uniform,12,WASHING URGENT,مريول مدرسي

Thobe,3,PRESSING NORMAL,ثوب
Color Thobe,5,PRESSING NORMAL,ثوب شتوي
Gutrah,3,PRESSING NORMAL,غترة
Cap,N/A,PRESSING NORMAL,كاب
Banian,1,PRESSING NORMAL,فانيلا داخلية
Sarwal,1,PRESSING NORMAL,سروال
Gutrah shall,5,PRESSING NORMAL,غترة شال
Pyjama,4,PRESSING NORMAL,بيجاما
T-Shirt,3,PRESSING NORMAL,تي شيرت
Shirt,3,PRESSING NORMAL,قميص
Pants,3,PRESSING NORMAL,بنطلون
Military Suit,6,PRESSING NORMAL,بدلة عسكرية
Jacket,6,PRESSING NORMAL,جاكيت
Sweater,4,PRESSING NORMAL,هودي
Coat,5,PRESSING NORMAL,كوت
Man's Suit,8,PRESSING NORMAL,بدلة رجالية
Over Coat,6,PRESSING NORMAL,كوت طويل
Bisht,15,PRESSING NORMAL,بشت
Abaya,8,PRESSING NORMAL,عبايا
Bath Robe,3,PRESSING NORMAL,روب الحمام
Blouse,3,PRESSING NORMAL,بلوزة
Skirt,4,PRESSING NORMAL,تنورة
Ladies Dress,8,PRESSING NORMAL,فستان نسائي
Pillow,N/A,PRESSING NORMAL,وسادة
Bed Sheet,6,PRESSING NORMAL,شرشف
Pillow Cover,2,PRESSING NORMAL,غطاء مخدة
Bed Spreard Cover,8,PRESSING NORMAL,غطاء سرير
Blanket,15,PRESSING NORMAL,بطانية
Faruva,20,PRESSING NORMAL
Towel,3,PRESSING NORMAL,منشف
Carpet,N/A,PRESSING NORMAL,سجادة
Curtain,10,PRESSING NORMAL,ستائر
Socks (Pair),N/A,PRESSING NORMAL,جرابات
Over Roll,6,PRESSING NORMAL,بدلة عمل
Saree,5,PRESSING NORMAL,ساري
Special dress,30,PRESSING NORMAL,فستان خاص
Dress Pleated,25,PRESSING NORMAL,فستان مكسر
Shawi,3,PRESSING NORMAL,حجاب
Baby frock,6,PRESSING NORMAL,فستان أطفال
Tie,1,PRESSING NORMAL,ربطة عنق
School Uniform,6,PRESSING NORMAL,مريول مدرسي

Thobe,5,PRESSING URGENT,ثوب
Color Thobe,8,PRESSING URGENT,ثوب شتوي
Gutrah,5,PRESSING URGENT,غترة
Cap,N/A,PRESSING URGENT,كاب
Banian,2,PRESSING URGENT,فانيلا داخلية
Sarwal,2,PRESSING URGENT,سروال
Gutrah shall,6,PRESSING URGENT,غترة شال
Pyjama,6,PRESSING URGENT,بيجاما
T-Shirt,4,PRESSING URGENT,تي شيرت
Shirt,4,PRESSING URGENT,قميص
Pants,4,PRESSING URGENT,بنطلون
Military Suit,8,PRESSING URGENT,بدلة عسكرية
Jacket,10,PRESSING URGENT,جاكيت
Sweater,6,PRESSING URGENT,هودي
Coat,8,PRESSING URGENT,كوت
Man's Suit,12,PRESSING URGENT,بدلة رجالية
Over Coat,10,PRESSING URGENT,كوت طويل
Bisht,20,PRESSING URGENT,بشت
Abaya,10,PRESSING URGENT,عبايا
Bath Robe,5,PRESSING URGENT,روب الحمام
Blouse,5,PRESSING URGENT,بلوزة
Skirt,6,PRESSING URGENT,تنورة
Ladies Dress,10,PRESSING URGENT,فستان نسائي
Pillow,N/A,PRESSING URGENT,وسادة
Bed Sheet,8,PRESSING URGENT,شرشف
Pillow Cover,4,PRESSING URGENT,غطاء مخدة
Bed Spreard Cover,10,PRESSING URGENT,غطاء سرير
Blanket,20,PRESSING URGENT,بطانية
Faruva,30,PRESSING URGENT
Towel,4,PRESSING URGENT,منشف
Carpet,N/A,PRESSING URGENT,سجادة
Curtain,15,PRESSING URGENT,ستائر
Socks (Pair),N/A,PRESSING URGENT,جرابات
Over Roll,8,PRESSING URGENT,بدلة عمل
Saree,8,PRESSING URGENT,ساري
Special dress,50,PRESSING URGENT,فستان خاص
Dress Pleated,40,PRESSING URGENT,فستان مكسر
Shawi,4,PRESSING URGENT,حجاب
Baby frock,8,PRESSING URGENT,فستان أطفال
Tie,2,PRESSING URGENT,ربطة عنق
School Uniform,8,PRESSING URGENT,مريول مدرسي